id	BP101	BP155	BP186	BP278	BP315	BP331
TIGR01448	231	233	4	1505	666	939
TIGR01449	314	267	8	483	1712	528
TIGR01444	2	0	0	29	144	28
TIGR01447	155	196	6	338	398	541
TIGR02835	699	700	158	814	2752	1018
TIGR03497	2399	2357	411	2628	7235	3256
TIGR00369	344	203	19	478	1692	658
TIGR03491	0	0	0	6	46	2
TIGR01174	748	677	43	1144	3488	1246
TIGR02948	421	328	24	471	1298	534
TIGR02944	204	118	15	250	789	307
TIGR02945	38	29	0	4	13	8
TIGR02946	15	12	0	50	200	94
TIGR02947	308	263	15	370	1259	460
TIGR02941	1060	1047	323	1155	3575	1343
TIGR02943	82	85	0	65	197	73
TIGR03569	2	0	0	41	124	34
TIGR03568	1	2	0	27	193	38
TIGR03565	390	293	7	483	1419	631
TIGR04244	137	172	14	275	771	285
TIGR04247	53	40	4	114	289	95
TIGR04246	137	173	14	277	773	285
TIGR03560	2050	1655	83	2657	7596	3409
TIGR04243	119	138	12	153	494	176
TIGR03498	2498	2450	432	2747	7767	3362
TIGR01172	512	406	18	478	1794	616
TIGR04082	14	16	2	3	14	4
TIGR00365	77	94	3	59	272	158
TIGR04085	0	0	0	15	7	4
TIGR00090	95	90	5	174	592	194
TIGR00091	203	208	14	249	718	283
TIGR00092	569	520	48	789	2926	1031
TIGR00093	701	663	35	888	2838	1227
TIGR00094	196	147	1	264	916	316
TIGR00095	114	121	8	221	785	253
TIGR00096	239	236	10	380	1379	466
TIGR00097	110	69	7	135	685	122
TIGR00099	40	24	1	70	258	56
TIGR02768	0	13	2	0	14	0
TIGR02769	4833	4449	347	6189	21075	7585
TIGR01072	463	410	20	546	1808	659
TIGR02764	126	141	13	164	511	190
TIGR03363	54	39	2	63	119	54
TIGR00546	320	318	4	419	1464	433
TIGR01901	0	0	0	13	0	4
TIGR00544	214	154	10	273	874	262
TIGR00543	527	467	27	577	2057	749
TIGR00540	234	257	5	507	2038	506
TIGR02215	63	24	0	0	0	7
TIGR00548	190	197	8	271	1212	354
TIGR01157	49	56	2	38	41	33
TIGR02217	880	589	29	48	58	95
TIGR01152	64	68	3	42	57	37
TIGR01151	64	68	3	42	57	37
TIGR03349	18	18	0	17	62	17
TIGR01158	50	35	0	101	413	129
TIGR02211	4924	4423	337	6100	21201	7559
TIGR02494	0	0	0	20	69	15
TIGR02495	171	146	8	140	573	213
TIGR02492	500	515	27	771	2627	825
TIGR02493	0	0	0	20	69	15
TIGR02490	786	641	21	1039	3691	1226
TIGR00401	250	254	19	369	1238	459
TIGR00400	797	538	33	845	2473	906
TIGR00407	497	490	25	679	2522	786
TIGR00406	266	183	22	278	934	354
TIGR00405	41	58	39	14	8	1
TIGR00409	971	801	65	956	3890	1441
TIGR00408	620	561	36	611	2372	907
TIGR03705	644	478	37	1075	3884	1463
