ensembl_gene_id	description	hgnc_symbol	hgnc_id	uniprotswissprot	chromosome_name	start_position	end_position	strand
ENSG00000000003	"tetraspanin 6 [Source:HGNC Symbol;Acc:11858]"	TSPAN6	11858	O43657	X	99883667	99894988	-1
ENSG00000000005	"tenomodulin [Source:HGNC Symbol;Acc:17757]"	TNMD	17757	Q9H2S6	X	99839799	99854882	1
ENSG00000000419	"dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit [Source:HGNC Symbol;Acc:3005]"	DPM1	3005	O60762	20	49551404	49575092	-1
ENSG00000000457	"SCY1-like 3 (S. cerevisiae) [Source:HGNC Symbol;Acc:19285]"	SCYL3	19285	Q8IZE3	1	169818772	169863408	-1
ENSG00000000460	"chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:25565]"	C1orf112	25565	Q9NSG2	1	169631245	169823221	1
ENSG00000000938	"feline Gardner-Rasheed sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:3697]"	FGR	3697	P09769	1	27938575	27961788	-1
ENSG00000000971	"complement factor H [Source:HGNC Symbol;Acc:4883]"	CFH	4883	P08603	1	196621008	196716634	1
ENSG00000001036	"fucosidase, alpha-L- 2, plasma [Source:HGNC Symbol;Acc:4008]"	FUCA2	4008	Q9BTY2	6	143815948	143832827	-1
ENSG00000001084	"glutamate-cysteine ligase, catalytic subunit [Source:HGNC Symbol;Acc:4311]"	GCLC	4311	P48506	6	53362139	53481768	-1
ENSG00000001167	"nuclear transcription factor Y, alpha [Source:HGNC Symbol;Acc:7804]"	NFYA	7804	P23511	6	41040684	41067715	1
ENSG00000001460	"sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:28070]"	STPG1	28070	Q5TH74	1	24683489	24743424	-1
ENSG00000001461	"NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:25233]"	NIPAL3	25233	Q6P499	1	24742284	24799466	1
ENSG00000001497	"LAS1-like (S. cerevisiae) [Source:HGNC Symbol;Acc:25726]"	LAS1L	25726	Q9Y4W2	X	64732462	64754655	-1
ENSG00000001561	"ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative) [Source:HGNC Symbol;Acc:3359]"	ENPP4	3359	Q9Y6X5	6	46097730	46114436	1
ENSG00000001617	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:10728]"	SEMA3F	10728		3	50192478	50226508	1
ENSG00000001626	"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7) [Source:HGNC Symbol;Acc:1884]"	CFTR	1884		7	117105838	117356025	1
ENSG00000001629	"ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:22215]"	ANKIB1	22215	Q9P2G1	7	91875548	92030698	1
ENSG00000001630	"cytochrome P450, family 51, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2649]"	CYP51A1	2649	Q16850	7	91741465	91772266	-1
ENSG00000001631	"KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:1573]"	KRIT1	1573	O00522	7	91828283	91875480	-1
ENSG00000002016	"RAD52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:9824]"	RAD52	9824	P43351	12	1021243	1099219	-1
ENSG00000002079	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000002330	"BCL2-associated agonist of cell death [Source:HGNC Symbol;Acc:936]"	BAD	936	Q92934	11	64037302	64052176	-1
ENSG00000002549	"leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:18449]"	LAP3	18449	P28838	4	17578815	17609595	1
ENSG00000002586	"CD99 molecule [Source:HGNC Symbol;Acc:7082]"	CD99	7082	P14209	X	2609220	2659350	1
ENSG00000002586_PAR_Y	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000002587	"heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5194]"	HS3ST1	5194	O14792	4	11394774	11431389	-1
ENSG00000002726	"amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:80]"	AOC1	80	P19801	7	150521715	150558592	1
ENSG00000002745	"wingless-type MMTV integration site family, member 16 [Source:HGNC Symbol;Acc:16267]"	WNT16	16267		7	120965421	120981158	1
ENSG00000002746	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:22195]"	HECW1	22195	Q76N89	7	43152198	43605600	1
ENSG00000002822	"MAD1 mitotic arrest deficient-like 1 (yeast) [Source:HGNC Symbol;Acc:6762]"	MAD1L1	6762		7	1855429	2272878	-1
ENSG00000002834	"LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:6513]"	LASP1	6513	Q14847	17	37026112	37078023	1
ENSG00000002919	"sorting nexin 11 [Source:HGNC Symbol;Acc:14975]"	SNX11	14975		17	46180719	46200436	1
ENSG00000002933	"transmembrane protein 176A [Source:HGNC Symbol;Acc:24930]"	TMEM176A	24930	Q96HP8	7	150497491	150502208	1
