name	desc	leng
TIGR00001	rpmI_bact: ribosomal protein L35	63
TIGR00002	S16: ribosomal protein S16	78
TIGR00003	TIGR00003: copper ion binding protein	66
TIGR00004	TIGR00004: reactive intermediate/imine deaminase	125
TIGR00005	rluA_subfam: pseudouridine synthase, RluA family	298
TIGR00006	TIGR00006: 16S rRNA (cytosine(1402)-N(4))-methyltransferase	310
TIGR00007	TIGR00007: 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	231
TIGR00008	infA: translation initiation factor IF-1	69
TIGR00009	L28: ribosomal protein L28	58
TIGR00010	TIGR00010: hydrolase, TatD family	253
TIGR00011	YbaK_EbsC: Cys-tRNA(Pro) deacylase	152
TIGR00012	L29: ribosomal protein L29	56
TIGR00013	taut: 4-oxalocrotonate tautomerase family enzyme	64
TIGR00014	arsC: arsenate reductase (glutaredoxin)	114
TIGR00016	ackA: acetate kinase	405
TIGR00017	cmk: cytidylate kinase	217
TIGR00018	panC: pantoate--beta-alanine ligase	283
TIGR00019	prfA: peptide chain release factor 1	361
TIGR00020	prfB: peptide chain release factor 2	365
TIGR00021	rpiA: ribose 5-phosphate isomerase A	218
TIGR00022	TIGR00022: uncharacterized protein, YhcH/YjgK/YiaL family	155
TIGR00023	TIGR00023: acyl-phosphate glycerol 3-phosphate acyltransferase	196
TIGR00024	SbcD_rel_arch: putative phosphoesterase	224
TIGR00025	Mtu_efflux: ABC transporter efflux protein, DrrB family	238
TIGR00026	hi_GC_TIGR00026: deazaflavin-dependent oxidoreductase, nitroreductase family	111
TIGR00027	mthyl_TIGR00027: methyltransferase, TIGR00027 family	259
TIGR00028	Mtu_PIN_fam: Mycobacterium tuberculosis PIN domain family	143
TIGR00029	S20: ribosomal protein S20	87
TIGR00030	S21p: ribosomal protein S21	58
TIGR00031	UDP-GALP_mutase: UDP-galactopyranose mutase	378
TIGR00032	argG: argininosuccinate synthase	394
TIGR00033	aroC: chorismate synthase	351
TIGR00034	aroFGH: 3-deoxy-7-phosphoheptulonate synthase	342
TIGR00035	asp_race: aspartate racemase	236
TIGR00036	dapB: dihydrodipicolinate reductase	270
TIGR00037	eIF_5A: translation elongation factor IF5A	130
TIGR00038	efp: translation elongation factor P	184
TIGR00039	6PTHBS: 6-pyruvoyl tetrahydropterin synthase/QueD family protein	124
TIGR00040	yfcE: phosphodiesterase, MJ0936 family	158
TIGR00041	DTMP_kinase: thymidylate kinase	196
TIGR00042	TIGR00042: non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family	184
TIGR00043	TIGR00043: probable rRNA maturation factor YbeY	111
TIGR00044	TIGR00044: pyridoxal phosphate enzyme, YggS family	229
TIGR00045	TIGR00045: glycerate kinase	375
TIGR00046	TIGR00046: RNA methyltransferase, RsmE family	240
TIGR00048	TIGR00048: 23S rRNA m2A2503 methyltransferase	355
TIGR00049	TIGR00049: iron-sulfur cluster assembly accessory protein	106
TIGR00050	rRNA_methyl_1: RNA methyltransferase, TrmH family, group 1	233
TIGR00051	TIGR00051: acyl-CoA thioester hydrolase, YbgC/YbaW family	117
TIGR00052	TIGR00052: nudix-type nucleoside diphosphatase, YffH/AdpP family	188
TIGR00053	TIGR00053: addiction module toxin component, YafQ family	92
TIGR00054	TIGR00054: RIP metalloprotease RseP	421
TIGR00055	uppS: di-trans,poly-cis-decaprenylcistransferase	228
TIGR00056	TIGR00056: conserved hypothetical protein	260
TIGR00057	TIGR00057: tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family	202
TIGR00058	Hemerythrin: hemerythrin family non-heme iron protein	115
TIGR00059	L17: ribosomal protein L17	112
TIGR00060	L18_bact: ribosomal protein L18	114
TIGR00061	L21: ribosomal protein L21	101
TIGR00062	L27: ribosomal protein L27	83
TIGR00063	folE: GTP cyclohydrolase I	180
TIGR00064	ftsY: signal recognition particle-docking protein FtsY	279
TIGR00065	ftsZ: cell division protein FtsZ	353
TIGR00066	g_glut_trans: gamma-glutamyltransferase	518
TIGR00067	glut_race: glutamate racemase	251
TIGR00068	glyox_I: lactoylglutathione lyase	150
TIGR00069	hisD: histidinol dehydrogenase	393
TIGR00070	hisG: ATP phosphoribosyltransferase	183
TIGR00071	hisT_truA: tRNA pseudouridine(38-40) synthase	228
TIGR00072	hydrog_prot: hydrogenase maturation protease	145
TIGR00073	hypB: hydrogenase accessory protein HypB	217
TIGR00074	hypC_hupF: hydrogenase assembly chaperone HypC/HupF	80
TIGR00075	hypD: hydrogenase expression/formation protein HypD	372
TIGR00077	lspA: signal peptidase II	164
TIGR00078	nadC: nicotinate-nucleotide diphosphorylase (carboxylating)	269
TIGR00079	pept_deformyl: peptide deformylase	161
TIGR00080	pimt: protein-L-isoaspartate O-methyltransferase	216
TIGR00081	purC: phosphoribosylaminoimidazolesuccinocarboxamide synthase	279
TIGR00082	rbfA: ribosome-binding factor A	115
TIGR00083	ribF: riboflavin biosynthesis protein RibF	290
TIGR00084	ruvA: Holliday junction DNA helicase RuvA	192
TIGR00086	smpB: SsrA-binding protein	144
TIGR00087	surE: 5'/3'-nucleotidase SurE	252
TIGR00088	trmD: tRNA (guanine(37)-N(1))-methyltransferase	233
TIGR00089	TIGR00089: radical SAM methylthiotransferase, MiaB/RimO family	429
TIGR00090	iojap_ybeB: iojap-like ribosome-associated protein	99
TIGR00091	TIGR00091: tRNA (guanine-N(7)-)-methyltransferase	194
TIGR00092	TIGR00092: GTP-binding protein YchF	368
TIGR00093	TIGR00093: pseudouridine synthase	161
TIGR00094	tRNA_TruD_broad: tRNA pseudouridine synthase, TruD family	413
TIGR00095	TIGR00095: RNA methyltransferase, RsmD family	194
TIGR00096	TIGR00096: putative S-adenosylmethionine-dependent methyltransferase, YraL family	275
TIGR00097	HMP-P_kinase: phosphomethylpyrimidine kinase	254
TIGR00099	Cof-subfamily: Cof-like hydrolase	256
